Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,delivery_days,order_month,order_year,profit_margin,is_profitable,is_discounted
2016-11-08,2016-11-11,Second Class,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0,41.9136,3,2016-11,2016,0.15999,1,0
2016-11-08,2016-11-11,Second Class,Consumer,United States,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0,219.582,3,2016-11,2016,0.3,1,0
2016-06-12,2016-06-16,Second Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0,6.8714,4,2016-06,2016,0.46968,1,0
2015-10-11,2015-10-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,0.45,-383.031,7,2015-10,2015,-0.4,0,1
2015-10-11,2015-10-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2,0.2,2.5164,7,2015-10,2015,0.11245,1,1
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0,14.1694,5,2014-06,2014,0.28994,1,0
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,7.28,4,0,1.9656,5,2014-06,2014,0.26963,1,0
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,907.152,6,0.2,90.7152,5,2014-06,2014,0.1,1,1
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,18.504,3,0.2,5.7825,5,2014-06,2014,0.31233,1,1
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0,34.47,5,2014-06,2014,0.29997,1,0
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Tables,1706.184,9,0.2,85.3092,5,2014-06,2014,0.05,1,1
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,911.424,4,0.2,68.3568,5,2014-06,2014,0.075,1,1
2017-04-15,2017-04-20,Standard Class,Consumer,United States,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,0.2,5.4432,5,2017-04,2017,0.34978,1,1
2016-12-05,2016-12-10,Standard Class,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922,5,2016-12,2016,0.32499,1,1
2015-11-22,2015-11-26,Standard Class,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,4,2015-11,2015,-1.79974,0,1
2015-11-22,2015-11-26,Standard Class,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,4,2015-11,2015,-1.49413,0,1
2014-11-11,2014-11-18,Standard Class,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0,13.3176,7,2014-11,2014,0.02,1,0
2014-05-13,2014-05-15,Second Class,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,0,9.99,2,2014-05,2014,0.17997,1,0
2014-08-27,2014-09-01,Second Class,Consumer,United States,San Francisco,California,West,Office Supplies,Art,8.56,2,0,2.4824,5,2014-08,2014,0.28966,1,0
2014-08-27,2014-09-01,Second Class,Consumer,United States,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.011,5,2014-08,2014,0.075,1,1
2014-08-27,2014-09-01,Second Class,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,22.72,4,0.2,7.384,5,2014-08,2014,0.32486,1,1
2016-12-09,2016-12-13,Standard Class,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,0,5.0596,4,2016-12,2016,0.25987,1,0
2016-12-09,2016-12-13,Standard Class,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,0,15.6884,4,2016-12,2016,0.25996,1,0
2017-07-16,2017-07-18,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,0.3,-1.0196,2,2017-07,2017,-0.01428,0,1
2015-09-25,2015-09-30,Standard Class,Consumer,United States,Orem,Utah,West,Furniture,Tables,1044.63,3,0,240.2649,5,2015-09,2015,0.23,1,0
2016-01-16,2016-01-20,Second Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,11.648,2,0.2,4.2224,4,2016-01,2016,0.36219,1,1
2016-01-16,2016-01-20,Second Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,90.57,3,0,11.7741,4,2016-01,2016,0.12999,1,0
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,4,2015-09,2015,-0.54,0,1
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,4,2015-09,2015,-0.73257,0,1
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,0.2,15.525,4,2015-09,2015,0.12499,1,1
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,4,2015-09,2015,0.33647,1,1
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,6,0.2,9.7092,4,2015-09,2015,0.11249,1,1
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,6,0.7,-5.715,4,2015-09,2015,-0.83212,0,1
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2,0.2,3.546,4,2015-09,2015,0.22486,1,1
2017-10-19,2017-10-23,Second Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,4,2017-10,2017,0.33739,1,1
2016-12-08,2016-12-10,First Class,Corporate,United States,Richardson,Texas,Central,Technology,Phones,1097.544,7,0.2,123.4737,2,2016-12,2016,0.1125,1,1
2016-12-08,2016-12-10,First Class,Corporate,United States,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,2,2016-12,2016,-0.77496,0,1
2015-12-27,2015-12-31,Standard Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,4,2015-12,2015,0.31247,1,1
2015-12-27,2015-12-31,Standard Class,Home Office,United States,Houston,Texas,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,4,2015-12,2015,-0.08823,0,1
2015-12-27,2015-12-31,Standard Class,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,212.058,3,0.3,-15.147,4,2015-12,2015,-0.07143,0,1
2015-12-27,2015-12-31,Standard Class,Home Office,United States,Houston,Texas,Central,Technology,Phones,371.168,4,0.2,41.7564,4,2015-12,2015,0.1125,1,1
2017-09-10,2017-09-15,Standard Class,Corporate,United States,Naperville,Illinois,Central,Technology,Phones,147.168,4,0.2,16.5564,5,2017-09,2017,0.11249,1,1
2016-07-17,2016-07-22,Standard Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Storage,77.88,2,0,3.894,5,2016-07,2016,0.04999,1,0
2017-09-19,2017-09-23,Standard Class,Corporate,United States,Melbourne,Florida,South,Office Supplies,Storage,95.616,2,0.2,9.5616,4,2017-09,2017,0.09999,1,1
2016-03-11,2016-03-13,First Class,Corporate,United States,Eagan,Minnesota,Central,Technology,Accessories,45.98,2,0,19.7714,2,2016-03,2016,0.42991,1,0
2016-03-11,2016-03-13,First Class,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,2,0,8.2062,2,2016-03,2016,0.46973,1,0
2014-10-20,2014-10-25,Second Class,Consumer,United States,Westland,Michigan,Central,Office Supplies,Storage,211.96,4,0,8.4784,5,2014-10,2014,0.04,1,0
2016-06-20,2016-06-25,Standard Class,Consumer,United States,Dover,Delaware,East,Technology,Accessories,45,3,0,4.95,5,2016-06,2016,0.10998,1,0
2016-06-20,2016-06-25,Standard Class,Consumer,United States,Dover,Delaware,East,Technology,Phones,21.8,2,0,6.104,5,2016-06,2016,0.27987,1,0
2015-04-18,2015-04-22,Standard Class,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Binders,38.22,6,0,17.9634,4,2015-04,2015,0.46988,1,0
2015-04-18,2015-04-22,Standard Class,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Labels,75.18,6,0,35.3346,4,2015-04,2015,0.46994,1,0
2015-04-18,2015-04-22,Standard Class,Consumer,United States,New Albany,Indiana,Central,Furniture,Furnishings,6.16,2,0,2.9568,4,2015-04,2015,0.47922,1,0
2015-04-18,2015-04-22,Standard Class,Consumer,United States,New Albany,Indiana,Central,Furniture,Chairs,89.99,1,0,17.0981,4,2015-04,2015,0.18998,1,0
